$d-08-24 13:05:27 INFO    [app.py:15] Loading books...
$d-08-24 13:05:27 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:27 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET / HTTP/1.1" 200 51294
$d-08-24 13:05:28 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:28 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-1.html HTTP/1.1" 200 50469
$d-08-24 13:05:28 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:29 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-2.html HTTP/1.1" 200 50877
$d-08-24 13:05:29 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:29 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-3.html HTTP/1.1" 200 51374
$d-08-24 13:05:30 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:30 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-4.html HTTP/1.1" 200 52524
$d-08-24 13:05:30 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:31 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-5.html HTTP/1.1" 200 51829
$d-08-24 13:05:31 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:31 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-6.html HTTP/1.1" 200 51602
$d-08-24 13:05:32 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:32 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-7.html HTTP/1.1" 200 51173
$d-08-24 13:05:32 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:33 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-8.html HTTP/1.1" 200 51144
$d-08-24 13:05:33 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
